,V1,V2
gn:T00001,hin,Haemophilus influenzae Rd KW20 (serotype d)
gn:T00002,mge,Mycoplasma genitalium G37
gn:T00003,mja,Methanocaldococcus jannaschii DSM 2661
gn:T00004,syn,Synechocystis sp. PCC 6803
gn:T00005,sce,Saccharomyces cerevisiae S288c
gn:T00006,mpn,Mycoplasma pneumoniae M129
gn:T00007,eco,Escherichia coli K-12 MG1655
gn:T00008,hpy,Helicobacter pylori 26695
gn:T00009,mth,Methanothermobacter thermautotrophicus Delta H
gn:T00010,bsu,Bacillus subtilis subsp. subtilis 168
gn:T00011,afu,Archaeoglobus fulgidus DSM 4304 (VC-16)
gn:T00012,bbu,Borreliella burgdorferi B31 (Borrelia burgdorferi B31)
gn:T00013,aae,Aquifex aeolicus VF5
gn:T00014,pho,Pyrococcus horikoshii OT3
gn:T00015,mtu,"Mycobacterium tuberculosis H37Rv, laboratory strain"
gn:T00016,tpa,Treponema pallidum subsp. pallidum Nichols
gn:T00017,ctr,Chlamydia trachomatis D/UW-3/CX
gn:T00018,rpr,Rickettsia prowazekii Madrid E
gn:T00019,cel,Caenorhabditis elegans (nematode)
gn:T00020,hpj,Helicobacter pylori J99
gn:T00021,cpn,Chlamydia pneumoniae CWL029
gn:T00022,tma,Thermotoga maritima MSB8
gn:T00023,ape,Aeropyrum pernix K1
gn:T00024,pab,Pyrococcus abyssi GE5
gn:T00025,dra,Deinococcus radiodurans R1
gn:T00026,cje,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
gn:T00027,nme,Neisseria meningitidis MC58 (serogroup B)
gn:T00028,cmu,Chlamydia muridarum Nigg (Chlamydia trachomatis MoPn)
gn:T00029,cpa,Chlamydia pneumoniae AR39
gn:T00030,dme,Drosophila melanogaster (fruit fly)
gn:T00031,nma,Neisseria meningitidis Z2491 (serogroup A)
gn:T00032,cpj,Chlamydia pneumoniae J138
gn:T00033,xfa,Xylella fastidiosa 9a5c
gn:T00034,vch,Vibrio cholerae O1 El Tor N16961
gn:T00035,pae,Pseudomonas aeruginosa PAO1
gn:T00036,buc,"Buchnera aphidicola APS, endosymbiont of Acyrthosiphon pisum (pea aphid)"
gn:T00037,tac,Thermoplasma acidophilum DSM 1728
gn:T00038,hal,Halobacterium salinarum NRC-1 (Halobacterium sp. NRC-1)
gn:T00039,bha,Bacillus halodurans C-125
gn:T00040,uur,Ureaplasma parvum serovar 3 ATCC 700970
gn:T00041,ath,Arabidopsis thaliana (thale cress)
gn:T00042,tvo,Thermoplasma volcanium GSS1
gn:T00043,mlo,Mesorhizobium japonicum MAFF 303099 (Mesorhizobium loti MAFF303099)
gn:T00044,ece,Escherichia coli O157:H7 EDL933 (EHEC)
gn:T00045,lla,Lactococcus lactis subsp. lactis Il1403
gn:T00046,pmu,Pasteurella multocida subsp. multocida Pm70
gn:T00047,mle,Mycobacterium leprae TN
gn:T00048,ecs,Escherichia coli O157:H7 Sakai (EHEC)
gn:T00049,ccr,Caulobacter vibrioides CB15 (Caulobacter crescentus CB15)
gn:T00050,spy,Streptococcus pyogenes M1 GAS (serotype M1)
gn:T00051,sau,"Staphylococcus aureus subsp. aureus N315, hospital-acquired methicillin-resistant, vancomycin-susceptible"
gn:T00052,sav,"Staphylococcus aureus subsp. aureus Mu50, methicillin-resistant, vancomycin-intermediate resistance"
gn:T00053,mtc,"Mycobacterium tuberculosis CDC1551, clinical strain"
gn:T00054,sso,Saccharolobus solfataricus P2
gn:T00055,mpu,Mycoplasma pulmonis UAB CTIP
gn:T00056,cac,Clostridium acetobutylicum ATCC 824
gn:T00057,spn,Streptococcus pneumoniae TIGR4 (virulent serotype 4)
gn:T00058,sme,Sinorhizobium meliloti 1021
gn:T00060,spr,Streptococcus pneumoniae R6 (avirulent serotype 2) (laboratory-adapted D39 derivative)
gn:T00061,rco,Rickettsia conorii Malish 7
gn:T00062,sto,Sulfurisphaera tokodaii 7 (Sulfolobus tokodaii 7)
gn:T00063,ype,Yersinia pestis CO92 (biovar Orientalis)
gn:T00064,sty,Salmonella enterica subsp. enterica serovar Typhi CT18 (Salmonella typhi CT18)
gn:T00065,stm,Salmonella enterica subsp. enterica serovar Typhimurium LT2 (Salmonella typhimurium LT2)
gn:T00066,lmo,Listeria monocytogenes EGD-e (serotype 1/2a)
gn:T00067,lin,Listeria innocua Clip11262 (serotype 6a)
gn:T00068,ecj,Escherichia coli K-12 W3110
gn:T00069,ana,Nostoc sp. PCC 7120 (Anabaena sp. PCC 7120)
gn:T00070,atu,Agrobacterium fabrum C58 (Agrobacterium tumefaciens C58)
gn:T00071,rso,Ralstonia solanacearum GMI1000
gn:T00072,bme,Brucella melitensis bv. 1 16M
gn:T00073,pai,Pyrobaculum aerophilum IM2
gn:T00074,cpe,Clostridium perfringens 13
gn:T00075,pfu,Pyrococcus furiosus DSM 3638
gn:T00076,spo,Schizosaccharomyces pombe 972h-
gn:T00077,fnu,Fusobacterium nucleatum subsp. nucleatum ATCC 25586
gn:T00078,mka,Methanopyrus kandleri AV19
gn:T00079,spm,Streptococcus pyogenes MGAS8232 (serotype M18)
gn:T00080,mac,Methanosarcina acetivorans C2A
gn:T00081,tte,Caldanaerobacter subterraneus subsp. tengcongensis MB4(T) (Thermoanaerobacter tengcongensis MB4(T))
gn:T00082,mma,Methanosarcina mazei Go1
gn:T00083,xcc,Xanthomonas campestris pv. campestris ATCC 33913
gn:T00084,xac,Xanthomonas citri pv. citri 306 (Xanthomonas axonopodis pv. citri 306)
gn:T00085,sco,Streptomyces coelicolor A3(2)
gn:T00086,sam,"Staphylococcus aureus subsp. aureus MW2, community-acquired methicillin-resistant"
gn:T00087,bas,"Buchnera aphidicola Sg, endosymbiont of Schizaphis graminum (greenbug)"
gn:T00088,cte,Chlorobaculum tepidum TLS (Chlorobium tepidum TLS)
gn:T00089,spg,Streptococcus pyogenes MGAS315 (serotype M3)
gn:T00090,tel,Thermosynechococcus elongatus BP-1
gn:T00091,sag,Streptococcus agalactiae 2603 (serotype V)
gn:T00092,ypk,Yersinia pestis KIM10+ (biovar Mediaevalis)
gn:T00093,oih,Oceanobacillus iheyensis HTE831
