adduct,Charge,Mult,massdiff,Ion_mode,Formula_add,Formula_ded
M-H,-1,1,-1.007276,negative,FALSE,H1
M-2H,-2,1,-2.014552,negative,FALSE,H2
M-3H,-3,1,-3.021828,negative,FALSE,H3
M+FA-H,-1,1,44.998201,negative,C1O2H2,H1
M+Hac-H,-1,1,59.013851,negative,C2O2H4,H1
M-,-1,1,0.00054858,negative,FALSE,FALSE
M-H2O-H,-1,1,-19.01839,negative,FALSE,H3O1
M+Na-2H,-1,1,20.974666,negative,Na1,H2
M+Cl,-1,1,34.969402,negative,Cl1,FALSE
M+K-2H,-1,1,36.948606,negative,K1,H2
M+Br,-1,1,78.918885,negative,Br1,FALSE
M+TFA-H,-1,1,112.985586,negative,C2F3O2H1,H1
2M-H,-1,2,-1.007276,negative,FALSE,H1
2M+FA-H,-1,2,44.998201,negative,C1O2H2,H1
2M+Hac-H,-1,2,59.013851,negative,C2O2H4,H1
3M-H,-1,3,-1.007276,negative,FALSE,H1
