"","start","end","mass","entrynames","ID"
"1",2.5,25,210.92261,"C2H2F3I$M+H",1
"2",2.5,15,285.2972,"C18H40Si$M+H",1
"3",2.5,32.5,288.9002,"C3H6INaO4S$M+H",1
"4",7.5,35,96.96063,"C2H2Cl2$M+H#C2H2Cl2$M+H",1
"5",15,22.5,148.93205,"CH3Cl2O2P$M+H",1
"6",17.5,22.5,280.86698,"C7H3Cl5O$M+H",1
"7",32.5,37.5,168.97676,"C6O6$M+H",1
"8",32.5,62.5,210.92272,"C5HCl3N2O$M+H",1
"9",55,60,141.05462,"C7H8O3$M+H",1
"10",57.5,87.5,210.92261,"C2H2F3I$M+H",1
"11",62.5,92.5,93.06988,"C7H8$M+H",1
"12",62.5,92.5,111.11683,"C8H14$M+H",1
"13",62.5,92.5,116.05262,"C4H9NOSi$M+H",1
"14",62.5,92.5,165.12739,"C11H16O$M+H",1
"15",97.5,125,101.00315,"C2H5NaOS$M+H",1
"16",107.5,137.5,122.09643,"C8H11N$M+H",1
"17",110,132.5,99.00523,"C2HF3O$M+H#C2HF3O$M+H",1
"18",110,125,203.03388,"C11H6O4$M+H",1
"19",110,115,208.15433,"C9H21NO4$M+H",1
"20",115,120,152.98609,"C4H8S3$M+H",1
"21",122.5,127.5,210.92272,"C5HCl3N2O$M+H",1
"22",125,162.5,233.06588,"C7H5IO$M+H#C11H24N2O3$M+H",1
"23",125,147.5,234.94229,"C7H7BrO2S$M+H",1
"24",127.5,147.5,101.00315,"C2H5NaOS$M+H",1
"25",132.5,150,197.94447,"C4H4ClNO2S2$M+H",1
"26",137.5,145,146.01157,"C4H4ClN3O$M+H",1
"27",145,150,139.05186,"C4H11O3P$M+H",1
"28",147.5,152.5,161.09207,"C6H12N2O3$M+H",1
"29",150,155,306.09721,"C15H15NO6$M+H",1
"30",155,185,232.94579,"C7H5IO$M+H",1
"31",155,162.5,273.09688,"C12H16O7$M+H",1
"32",157.5,162.5,218.04816,"C8H11NO4S$M+H",1
"33",157.5,165,230.08455,"C10H15NO3S$M+H",1
"34",162.5,167.5,245.18596,"C12H24N2O3$M+H",1
"35",167.5,172.5,150.06619,"C7H7N3O$M+H",1
"36",167.5,175,195.94821,"C6H4Cl3N$M+H",1
"37",167.5,175,218.97409,"C6H9Cl3O2$M+H",1
"38",167.5,175,292.94122,"C8H5Cl2F3O2S$M+H",1
"39",172.5,177.5,285.2972,"C18H40Si$M+H",1
"40",175,185,199.11895,"C8H14N4O2$M+H",1
"41",175,182.5,260.05873,"C10H13NO5S$M+H",1
"42",175,180,283.13915,"C10H26O5Si2$M+H",1
"43",180,210,195.94821,"C6H4Cl3N$M+H",1
"44",180,192.5,218.97409,"C6H9Cl3O2$M+H",1
"45",182.5,190,210.92261,"C2H2F3I$M+H",1
"46",185,197.5,151.07267,"C5H6N6$M+H",1
"47",190,200,160.02722,"C5H6ClN3O$M+H",1
"48",190,197.5,191.11788,"C11H14N2O$M+H",1
